PF00389	2-Hacid_dh
PF04218	CENP-B_N
PF04734	Ceramidase_alk
PF03859	CG-1
PF00307	CH
PF04420	CHD5
PF03067	Chitin_bind_3
PF00379	Chitin_bind_4
PF04968	CHORD
PF02017	CIDE-N
PF02487	CLN3
PF02861	Clp_N
PF02353	CMAS
PF00780	CNH
PF00027	cNMP_binding
PF02629	CoA_binding
PF01144	CoA_trans
PF02514	CobN-Mg_chel
PF02492	cobW
PF00135	COesterase
PF01484	Col_cuticle_N
PF01391	Collagen
PF03772	Competence
PF05071	NDUFA12
PF00329	Complex1_30kDa
PF02950	Conotoxin
PF05019	Coq4
PF03471	CorC_HlyC
PF02389	Cornifin
PF02628	COX15-CtaA
PF02936	COX4
PF03626	COX4_pro
PF02937	COX6C
PF02935	COX7C
PF04516	CP2
PF00118	Cpn60_TCP1
PF02787	CPSase_L_D3
PF04969	CS
PF00988	CPSase_sm_chain
PF03178	CPSF_A
PF00313	CSD
PF04442	CtaG_Cox11
PF01148	CTP_transf_1
PF04145	Ctr
PF00394	Cu-oxidase
PF03712	Cu2_monoox_C
PF01082	Cu2_monooxygen
PF02845	CUE
PF00190	Cupin_1
PF04889	Cwf_Cwc_15
PF04677	CwfJ_C_1
PF04676	CwfJ_C_2
PF01705	CX
PF04673	Cyclase_polyket
PF00134	Cyclin_N
PF02276	CytoC_RC
PF05038	Cytochrom_B558a
PF01820	Dala_Dala_lig_N
PF01113	DapB_N
PF01682	DB
PF05011	DBR1
PF03107	C1_2
PF00383	dCMP_cyt_deam_1
PF05026	DCP2
PF03607	DCX
PF03455	dDENN
PF02791	DDT
PF00270	DEAD
PF00531	Death
PF04626	DEC-1_C
PF02141	DENN
PF00610	DEP
PF02272	DHHA1
PF04922	DIE2_ALG10
PF01843	DIL
PF03018	Dirigent
PF02377	Dishevelled
PF02916	DNA_PPF
PF01965	DJ-1_PfpI
PF00751	DM
PF01068	DNA_ligase_A_M
PF04679	DNA_ligase_A_C
PF04675	DNA_ligase_A_N
PF00875	DNA_photolyase
PF00136	DNA_pol_B
PF03104	DNA_pol_B_exo1
PF04081	DNA_pol_delta_4
PF00772	DnaB
PF03796	DnaB_C
PF00226	DnaJ
PF03351	DOMON
PF04124	Dor1
PF04173	DoxD
PF00930	DPPIV_N
PF05186	Dpy-30
PF01414	DSL
PF01666	DX
PF00782	DSPc
PF00035	dsrm
PF01951	Archease
PF02575	YbaB_DNA_bd
PF02580	Tyr_Deacylase
PF02583	Trns_repr_metal
PF02588	DUF161
PF02639	DUF188
PF02641	DUF190
PF02958	EcKinase
PF02995	DUF229
PF01697	Glyco_transf_92
PF02996	Prefoldin
PF03080	DUF239
PF03087	DUF241
PF03103	DUF243
PF03140	DUF247
PF03141	Methyltransf_29
PF03164	Mon1
PF03194	LUC7
PF01657	Stress-antifung
PF03195	DUF260
PF03268	DUF267
PF03269	DUF268
PF03312	DUF272
PF03409	Glycoprotein
PF03357	Snf7
PF03380	DUF282
PF03368	Dicer_dimer
PF03382	DUF285
PF01060	DUF290
PF03478	DUF295
PF03556	Cullin_binding
PF03619	Solute_trans_a
PF03703	bPH_2
PF03713	DUF305
PF03754	DUF313
PF03761	DUF316
PF03777	DUF320
PF03860	DUF326
PF03935	SKN1
PF03990	DUF348
PF03993	DUF349
PF04008	Adenosine_kin
PF04013	Methyltrn_RNA_2
PF04020	DUF360
PF04037	DUF382
PF04075	DUF385
PF04087	DUF389
PF04155	Ground-like
PF04241	DUF423
PF04255	DUF433
PF01862	PvlArgDC
PF04332	DUF475
PF04720	DUF506
PF04784	DUF547
PF04484	DUF566
PF04526	DUF568
PF04502	DUF572
PF04504	DUF573
PF04535	DUF588
PF01883	DUF59
PF04547	Anoctamin
PF04576	Zein-binding
PF04642	DUF601
PF04641	Rtf2
PF04652	DUF605
PF04678	DUF607
PF04685	DUF608
PF04727	ELMO_CED12
PF04747	DUF612
PF04749	PLAC8
PF04759	DUF617
PF04818	CTD_bind
PF04789	DUF621
PF04802	SMK-1
PF04783	DUF630
PF01683	EB
PF04782	DUF632
PF04826	Arm_2
PF04859	DUF641
PF04884	DUF647
PF04900	Fcf1
PF04949	Transcrip_act
PF04950	DUF663
PF05057	DUF676
PF05097	DUF688
PF05108	DUF690
PF05127	Helicase_RecD
PF05129	Elf1
PF05197	TRIC
PF01031	Dynamin_M
PF03028	Dynein_heavy
PF04261	Dyp_perox
PF02221	E1_DerP2_DerF2
PF03271	EB1
PF05009	EBV-NA3
PF00679	EFG_C
PF03764	EFG_IV
PF00036	EF-hand_1
PF04189	Gcd10p
PF03610	EIIA-man
PF01448	ELM2
PF02990	EMP70
PF01223	Endonuclease_NS
PF00812	Ephrin
PF05139	Erythro_esteras
PF04800	ETC_C1_NDUFA4
PF04716	ETC_C1_NDUFA5
PF04621	ETS_PEA3_N
PF04777	Evr1_Alr
PF03372	Exo_endo_phos
PF02609	Exonuc_VII_S
PF00929	RNase_T
PF03016	Exostosin
PF03124	EXS
PF04554	Extensin_2
PF00646	F-box
PF00754	F5_F8_type_C
PF00487	FA_desaturase
PF02913	FAD-oxidase_C
PF01565	FAD_binding_4
PF00970	FAD_binding_6
PF03441	FAD_binding_7
PF03101	FAR1
PF04300	FBA
PF00611	FCH
PF00111	Fer2
PF01799	Fer2_2
PF04324	Fer2_BFD
PF00037	Fer4
PF00210	Ferritin
PF01839	FG-GAP
PF02181	FH2
PF02661	Fic
PF00254	FKBP_C
PF01003	Flavi_capsid
PF02832	Flavi_glycop_C
PF00869	Flavi_glycoprot
PF00949	Peptidase_S7
PF01004	Flavi_M
PF00948	Flavi_NS1
PF01005	Flavi_NS2A
PF01002	Flavi_NS2B
PF01613	Flavin_Reduct
PF00258	Flavodoxin_1
PF04500	FLYWCH
PF03358	FMN_red
PF02434	Fringe
PF01534	Frizzled
PF01827	FTH
PF01913	FTR
PF02741	FTR_C
PF01728	FtsJ
PF02687	FtsX
PF04082	Fungal_trans
PF01363	FYVE
PF01392	Fz
PF01585	G-patch
PF01019	G_glu_transpept
PF04114	Gaa1
PF01590	GAF
PF01140	Gag_MA
PF01141	Gag_p12
PF02140	Gal_Lectin
PF03127	GAT
PF00320	GATA
PF00117	GATase
PF02934	GatB_N
PF02637	GatB_Yqey
PF03615	GCM
PF03074	GCS
PF03009	GDPD
PF00626	Gelsolin
PF01408	GFO_IDH_MocA
PF02894	GFO_IDH_MocA_C
PF00990	GGDEF
PF03321	GH3
PF00288	GHMP_kinases_N
PF00594	Gla
PF00208	ELFV_dehydrog
PF00042	Globin
PF04898	Glu_syn_central
PF04960	Glutaminase
PF04488	Gly_transf_sug
PF00722	Glyco_hydro_16
PF00704	Glyco_hydro_18
PF02055	Glyco_hydro_30
PF01055	Glyco_hydro_31
PF01532	Glyco_hydro_47
PF03200	Glyco_hydro_63
PF03648	Glyco_hydro_67N
PF03663	Glyco_hydro_76
PF03644	Glyco_hydro_85
PF04101	Glyco_tran_28_C
PF00852	Glyco_transf_10
PF00982	Glyco_transf_20
PF01755	Glyco_transf_25
PF00777	Glyco_transf_29
PF03360	Glyco_transf_43
PF01501	Glyco_transf_8
PF00535	Glycos_transf_2
PF00953	Glycos_transf_4
PF00903	Glyoxalase
PF04464	Glyphos_transf
PF00958	GMP_synt_C
PF01825	GPS
PF02893	GRAM
PF03514	GRAS
PF01465	GRIP
PF02946	GTF2I
PF01018	GTP1_OBG
PF00009	GTP_EFTU
PF03144	GTP_EFTU_D2
PF03143	GTP_EFTU_D3
PF01493	GXGXG
PF02756	GYR
PF03457	HA
PF04408	HA2
PF04774	HABP4_PAI-RBP1
PF02183	HALZ
PF00672	HAMP
PF04849	HAP1_N
PF02184	HAT
PF02518	HATPase_c
PF00955	HCO3_cotransp
PF01966	HD
PF00271	Helicase_C
PF02602	HEM4
PF00173	Cyt-b5
PF01814	Hemerythrin
PF00353	HemolysinCabind
PF00132	Hexapep
PF03129	HGTP_anticodon
PF03578	HGWP
PF00633	HHH
PF01079	Hint
PF01634	HisG
PF00512	HisKA
PF00850	Hist_deacetyl
PF00010	HLH
PF00403	HMA
PF00368	HMG-CoA_red
PF02301	HORMA
PF00104	Hormone_recep
PF03241	HpaB
PF02185	HR1
PF00570	HRDC
PF03878	YIF1
PF02793	HRM
PF01381	HTH_3
PF01402	RHH_1
PF02954	HTH_8
PF04005	Hus1
PF03810	IBN_N
PF01485	IBR
PF01614	IclR
PF04760	IF2_N
PF05198	IF3_N
PF05004	IFRD
PF00817	IMS
PF04836	IFRD_C
PF04762	IKI3
PF00478	IMPDH
PF03941	INCENP_ARK-bind
PF04179	Init_tRNA_PT
PF02022	Integrase_Zn
PF00520	Ion_trans
PF03770	IPK
PF00612	IQ
PF01007	IRK
PF02174	IRS
PF02922	CBM_48
PF00857	Isochorismatase
PF02373	JmjC
PF02099	Josephin
PF02214	BTB_2
PF02705	K_trans
PF01920	Prefoldin_2
PF01344	Kelch_1
PF00013	KH_1
PF00109	ketoacyl-synt
PF02801	Ketoacyl-synt_C
PF00225	Kinesin
PF00467	KOW
PF01352	KRAB
PF05178	Kri1
PF02735	Ku
PF03730	Ku_C
PF03731	Ku_N
PF00014	Kunitz_BPTI
PF03521	Kv2channel
PF02828	L27
PF02448	L71
PF00753	Lactamase_B
PF02652	Lactate_perm
PF03798	TRAM_LAG1_CLN8
PF03161	LAGLIDADG_2
PF04916	Phospholip_B
PF04031	Las1
PF00057	Ldl_recept_a
PF02987	LEA_4
PF04004	Leo1
PF00060	Lig_chan
PF02900	LigB
PF03893	Lipase3_N
PF01764	Lipase_3
PF04571	Lipin_N
PF03180	Lipoprotein_9
PF02190	LON
PF00560	LRR_1
PF01463	LRRCT
PF04180	LTV
PF02123	RdRP_4
PF01476	LysM
PF03466	LysR_substrate
PF03816	LytR_cpsA_psr
PF02847	MA3
PF01454	MAGE
PF00390	malic
PF03949	Malic_M
PF00629	MAM
PF03999	MAP65_ASE1
PF00917	MATH
PF01429	MBD
PF03062	MBOAT
PF02820	MBT
PF02470	MCE
PF05053	Menin
PF00149	Metallophos
PF01420	Methylase_S
PF01795	Methyltransf_5
PF05060	MGAT2
PF02142	MGS
PF01769	MgtE
PF00993	MHC_II_alpha
PF00969	MHC_II_beta
PF02816	Alpha_kinase
PF02854	MIF4G
PF02815	MIR
PF04212	MIT
PF00153	Mito_carr
PF03637	Mob1_phocein
PF00994	MoCF_biosynth
PF03454	MoeA_C
PF03453	MoeA_N
PF02493	MORN
PF03476	MOSC_N
PF04643	Motilin_assoc
PF04644	Motilin_ghrelin
PF01398	JAB
PF01853	MOZ_SAS
PF04117	Mpv17_PMP22
PF03587	EMG1
PF03022	MRJP
PF04707	PRELI
PF00635	Motile_Sperm
PF03820	Mtc
PF00249	Myb_DNA-binding
PF02736	Myosin_N
PF00784	MyTH4
PF03485	Arg_tRNA_synt_N
PF01699	Na_Ca_ex
PF00999	Na_H_Exchanger
PF02690	Na_Pi_cotrans
PF02445	NadA
PF03822	NAF
PF05089	NAGLU
PF02365	NAM
PF04095	NAPRTase
PF04970	LRAT
PF04904	NCD1
PF04905	NCD2
PF03096	Ndr
PF03102	NeuB
PF02931	Neur_chan_LBD
PF01436	NHL
PF03031	NIF
PF04923	Ninjurin
PF02613	Nitrate_red_del
PF00877	NLPC_P60
PF04981	NMD3
PF01234	NNMT_PNMT_TEMT
PF04147	Nop14
PF04153	NOT2_3_5
PF04065	Not3
PF03060	NMO
PF05021	NPL4
PF01909	NTP_transf_2
PF01759	NTR
PF04142	Nuc_sug_transp
PF04096	Nucleoporin2
PF01733	Nucleoside_tran
PF04880	NUDE_C
PF00293	NUDIX
PF03826	OAR
PF03137	OATP
PF05005	Ocnus
PF00215	OMPdecase
PF04084	ORC2
PF03392	OS-D
PF04756	OST3_OST6
PF01010	Oxidored_q1_C
PF01483	P_proprotein
PF04062	P21-Arc
PF02331	P35
PF02225	PA
PF00291	PALP
PF00024	PAN_1
PF01569	PAP2
PF03828	PAP_assoc
PF04928	PAP_central
PF05028	PARG_cat
PF01734	Patatin
PF02460	Patched
PF02170	PAZ
PF00564	PB1
PF00786	PBD
PF01161	PBP
PF01399	PCI
PF03462	PCRF
PF02153	PDH
PF04166	PdxA
PF00934	PE
PF01095	Pectinesterase
PF04710	Pellino
PF02452	PemK
PF01804	Penicil_amidase
PF01469	Pentapeptide_2
PF00391	PEP-utilizers
PF05131	Pep3_Vps18
PF03051	Peptidase_C1_2
PF00112	Peptidase_C1
PF01650	Peptidase_C13
PF00863	Peptidase_C4
PF02902	Peptidase_C48
PF03416	Peptidase_C54
PF01433	Peptidase_M1
PF01431	Peptidase_M13
PF05193	Peptidase_M16_C
PF02789	Peptidase_M17_N
PF02127	Peptidase_M18
PF01546	Peptidase_M20
PF00814	Peptidase_M22
PF04389	Peptidase_M28
PF01551	Peptidase_M23
PF01434	Peptidase_M41
PF02163	Peptidase_M50
PF02897	Peptidase_S9_N
PF04080	Per1
PF04695	Pex14_N
PF00294	PfkB
PF00169	PH
PF05065	Phage_capsid
PF02899	Phage_int_SAM_1
PF04860	Phage_portal
PF05119	Terminase_4
PF03354	Terminase_1
PF00628	PHD
PF01384	PHO4
PF01663	Phosphodiest
PF02811	PHP
PF02972	Phycoerythr_ab
PF05023	Phytochelatin
PF02567	PhzC-PhzF
PF00454	PI3_PI4_kinase
PF00792	PI3K_C2
PF00640	PID
PF04987	PigN
PF01850	PIN
PF04696	Pinin_SDK_memA
PF01504	PIP5K
PF02171	Piwi
PF00801	PKD
PF01477	PLAT
PF00614	PLDc
PF01690	PLRV_ORF5
PF03126	Plus-3
PF04043	PMEI
PF04721	DUF750
PF03726	PNPase
PF01357	Pollen_allerg_1
PF01522	Polysacc_deac_1
PF04831	Popeye
PF01558	POR
PF01855	POR_N
PF04151	PPC
PF01577	Peptidase_S30
PF03291	Pox_MCEL
PF00481	PP2C
PF00823	PPE
PF01535	PPR
PF04193	PQ-loop
PF05033	Pre-SET
PF00156	Pribosyltran
PF00377	Prion
PF00227	Proteasome
PF03371	PRP38
PF01789	PsbP
PF01416	PseudoU_synth_1
PF01437	PSI
PF04046	PSP
PF04468	PSP1
PF04024	PspC
PF04886	PT
PF01329	Pterin_4a
PF03095	PTPA
PF02302	PTS_IIB
PF01472	PUA
PF01480	PWI
PF00787	PX
PF02194	PXA
PF00070	Pyr_redox
PF02852	Pyr_redox_dim
PF01729	QRPTase_C
PF02749	QRPTase_N
PF01424	R3H
PF03834	Rad10
PF04423	Rad50_zn_hook
PF04055	Radical_SAM
PF02145	Rap_GAP
PF04078	Rcd1
PF05177	RCSD
PF01030	Recep_L_domain
PF02010	REJ
PF03432	Relaxase
PF03090	Replicase
PF03248	Rer1
PF02453	Reticulon
PF04527	Retinin_C
PF03732	Retrotrans_gag
PF01694	Rhomboid
PF05104	Rib_recp_KP_reg
PF00636	Ribonuclease_3
PF04597	Ribophorin_I
PF01775	Ribosomal_L18ae
PF00828	Ribosomal_L18e
PF01907	Ribosomal_L37e
PF00347	Ribosomal_L6
PF02482	Ribosomal_S30AE
PF01201	Ribosomal_S8e
PF00652	Ricin_B_lectin
PF00355	Rieske
PF00866	Ring_hydroxyl_B
PF04068	RLI
PF04437	RINT1_TIP1
PF01163	RIO1
PF01000	RNA_pol_A_bac
PF04997	RNA_pol_Rpb1_1
PF00623	RNA_pol_Rpb1_2
PF04983	RNA_pol_Rpb1_3
PF05000	RNA_pol_Rpb1_4
PF04998	RNA_pol_Rpb1_5
PF04992	RNA_pol_Rpb1_6
PF05001	RNA_pol_Rpb1_R
PF04565	RNA_pol_Rpb2_3
PF04567	RNA_pol_Rpb2_5
PF00562	RNA_pol_Rpb2_6
PF04560	RNA_pol_Rpb2_7
PF03874	RNA_pol_Rpb4
PF01351	RNase_HII
PF01138	RNase_PH
PF03725	RNase_PH_C
PF02755	RPEL
PF04059	RRM_2
PF01137	RTC
PF05189	RTC_insert
PF00301	Rubredoxin
PF02759	RUN
PF00853	Runt
PF00665	rve
PF00077	RVP
PF00078	RVT_1
PF03501	S10_plectin
PF01479	S4
PF04382	SAB
PF03399	SAC3_GANP
PF03435	Saccharop_dh
PF00536	SAM_1
PF02198	SAM_PNT
PF01342	SAND
PF02037	SAP
PF05184	SapB_1
PF03489	SapB_2
PF04499	SAPS
PF04000	Sas10_Utp3
PF01547	SBP_bac_1
PF00497	SBP_bac_3
PF04144	SCAMP
PF02023	SCAN
PF02404	SCF
PF00188	CAP
PF03803	Scramblase
PF01390	SEA
PF04091	Sec15
PF04815	Sec23_helical
PF04811	Sec23_trunk
PF04136	Sec34
PF02889	Sec63
PF04048	Sec8_exocyst
PF00856	SET
PF03749	SfsA
PF05002	SGS
PF03983	SHD1
PF04925	SHQ1
PF01549	ShK
PF04542	Sigma70_r2
PF04545	Sigma70_r4
PF03145	Sina
PF04938	SIP1
PF03530	SK_channel
PF02437	Ski_Sno
PF01466	Skp1
PF03931	Skp1_POZ
PF00395	SLH
PF01423	LSM
PF02463	SMC_N
PF04158	Sof1
PF01033	Somatomedin_B
PF03700	Sorting_nexin
PF04130	Spc97_Spc98
PF04435	SPK
PF04014	Antitoxin-MazE
PF00622	SPRY
PF03105	SPX
PF03125	Sre
PF04086	SRP-alpha_N
PF00448	SRP54
PF02881	SRP54_N
PF02978	SRP_SPB
PF00436	SSB
PF04503	SSDP
PF05030	SSXT
PF01852	START
PF01740	STAS
PF03015	Sterile
PF02544	Steroid_dh
PF02910	Succ_DH_flav_C
PF00884	Sulfatase
PF00685	Sulfotransfer_1
PF03567	Sulfotransfer_2
PF04935	SURF6
PF01805	Surp
PF02201	SWIB
PF04434	SWIM
PF04433	SWIRM
PF00804	Syntaxin
PF00907	T-box
PF04719	TAFII28
PF04177	TAP42
PF03943	TAP_C
PF03134	TB2_DP1_HVA22
PF00352	TBP
PF03148	Tektin
PF01397	Terpene_synth
PF00440	TetR_N
PF03850	Tfb4
PF02269	TFIID-18kDa
PF03847	TFIID_20kDa
PF04494	TFIID_90kDa
PF04253	TFR_dimer
PF02824	TGS
PF00763	THF_DHG_CYH
PF02882	THF_DHG_CYH_C
PF00899	ThiF
PF02597	ThiS
PF01833	TIG
PF04280	Tim44
PF04176	TIP41
PF01582	TIR
PF03920	TLE_N
PF05154	TM2
PF03348	Serinc
PF03459	TOBE
PF04265	TPK_B1_binding
PF04263	TPK_catalytic
PF00515	TPR_1
PF01938	TRAM
PF00486	Trans_reg_C
PF02458	Transferase
PF01336	tRNA_anti-codon
PF01841	Transglut_core
PF00927	Transglut_C
PF02779	Transket_pyr
PF02780	Transketolase_C
PF00335	Tetraspannin
PF00905	Transpeptidase
PF01609	DDE_Tnp_1
PF02371	Transposase_20
PF01526	DDE_Tnp_Tn3
PF01548	DEDD_Tnp_IS110
PF00579	tRNA-synt_1b
PF01409	tRNA-synt_2d
PF01588	tRNA_bind
PF03250	Tropomodulin
PF00992	Troponin
PF00234	Tryp_alpha_amyl
PF00089	Trypsin
PF02210	Laminin_G_2
PF03133	TTL
PF01167	Tub
PF03953	Tubulin_C
PF00567	TUDOR
PF04906	Tweety
PF04564	U-box
PF00627	UBA
PF01040	UbiA
PF00240	ubiquitin
PF00789	UBX
PF00443	UCH
PF03456	uDENN
PF03167	UDG
PF02809	UIM
PF01027	Bax1-I
PF03684	UPF0179
PF03699	UPF0182
PF03676	UPF0183
PF03671	Ufm1
PF00179	UQ_con
PF02814	UreE_N
PF04192	Utp21
PF02151	UVR
PF05008	V-SNARE
PF00790	VHS
PF00654	Voltage_CLC
PF04840	Vps16_C
PF04841	Vps16_N
PF03635	Vps35
PF04129	Vps52
PF04100	Vps53_N
PF02204	VPS9
PF03302	VSP
PF00092	VWA
PF00094	VWD
PF00095	WAP
PF00400	WD40
PF00568	WH1
PF02205	WH2
PF02467	Whib
PF02019	WIF
PF03106	WRKY
PF02206	WSN
PF00397	WW
PF02825	WWE
PF02706	Wzz
PF03254	XG_FTase
PF05181	XPA_C
PF01286	XPA_N
PF00102	Y_phosphatase
PF04893	Yip1
PF03226	Yippee-Mis18
PF02757	YLP
PF04146	YTH
PF00643	zf-B_box
PF02892	zf-BED
PF01530	zf-C2HC
PF00097	zf-C3HC4
PF00642	zf-CCCH
PF00098	zf-CCHC
PF02008	zf-CXXC
PF01529	zf-DHHC
PF04438	zf-HIT
PF02891	zf-MIZ
PF01753	zf-MYND
PF05020	zf-NPL4
PF04810	zf-Sec23_Sec24
PF02148	zf-UBP
PF04704	Zfx_Zfy_act
PF02535	Zip
PF00246	Peptidase_M14
PF00100	Zona_pellucida
PF01262	AlaDh_PNT_C
PF05222	AlaDh_PNT_N
PF05218	DUF713
PF05210	Sprouty
PF05216	UNC-50
PF00702	Hydrolase
PF04227	Indigoidine_A
PF04613	LpxD
PF00244	14-3-3
PF02826	2-Hacid_dh_C
PF02834	LigT_PEase
PF03475	3-alpha
PF01612	DNA_pol_A_exo1
PF00803	3A
PF02829	3H
PF00725	3HCDH
PF02737	3HCDH_N
PF02446	Glyco_hydro_77
PF01812	5-FTHF_cyc-lig
PF02739	5_3_exonuc_N
PF01367	5_3_exonuc
PF03491	5HT_transporter
PF02096	60KD_IMP
PF00428	Ribosomal_60s
PF01591	6PF2K
PF00393	6PGD
PF02495	7kD_coat
PF02294	7kD_DNA_binding
PF00001	7tm_1
PF00002	7tm_2
PF02949	7tm_6
PF00207	A2M
PF01835	A2M_N
PF01356	A_amylase_inhib
PF02137	A_deamin
PF00324	AA_permease
PF03306	AAL_decarboxy
PF04611	AalphaY_MDB
PF03417	AAT
PF02496	ABA_WDS
PF00950	ABC-3
PF01061	ABC2_membrane
PF00664	ABC_membrane
PF00005	ABC_tran
PF00561	Abhydrolase_1
PF03806	ABG_transport
PF02230	Abhydrolase_2
PF02517	Abi
PF03992	ABM
PF00887	ACBP
PF03255	ACCA
PF00871	Acetate_kinase
PF02550	AcetylCoA_hydro
PF00797	Acetyltransf_2
PF00328	His_Phos_2
PF03767	Acid_phosphat_B
PF00330	Aconitase
PF00694	Aconitase_C
PF01756	ACOX
PF00873	ACR_tran
PF05058	ActA
PF00976	ACTH_domain
PF00022	Actin
PF01643	Acyl-ACP_TE
PF02770	Acyl-CoA_dh_M
PF02771	Acyl-CoA_dh_N
PF02551	Acyl_CoA_thio
PF00698	Acyl_transf_1
PF02273	Acyl_transf_2
PF00708	Acylphosphatase
PF01553	Acyltransferase
PF02805	Ada_Zn_binding
PF01602	Adaptin_N
PF03352	Adenine_glyco
PF02438	Adeno_100
PF03052	Adeno_52K
PF02703	Adeno_E1A
PF01691	Adeno_E1B_19K
PF01696	Adeno_E1B_55K
PF04623	Adeno_E1B_55K_N
PF04834	Adeno_E3_14_5
PF03307	Adeno_E3_15_3
PF02440	Adeno_E3_CR1
PF02439	Adeno_E3_CR2
PF03376	Adeno_E3B
PF04528	Adeno_E4_34
PF00541	Adeno_knob
PF00608	Adeno_shaft
PF04881	Adeno_GP19K
PF01065	Adeno_hexon
PF03678	Adeno_hexon_C
PF02456	Adeno_IVa2
PF01686	Adeno_Penton_B
PF03955	Adeno_PIX
PF03910	Adeno_PV
PF01310	Adeno_PVIII
PF02459	Adeno_terminal
PF03228	Adeno_VII
PF04439	Adenyl_transf
PF01928	CYTH
PF01295	Adenylate_cycl
PF00709	Adenylsucc_synt
PF00106	adh_short
PF04619	Adhesin_Dr
PF03257	Adhesin_P1
PF00406	ADK
PF05191	ADK_lid
PF05221	AdoHcyase
PF00670	AdoHcyase_NAD
PF03747	ADP_ribosyl_GH
PF04587	ADP_PFK_GK
PF01117	Aerolysin
PF05110	AF-4
PF03969	AFG1_ATPase
PF01314	AFOR_C
PF02730	AFOR_N
PF02420	AFP
PF03756	AfsA
PF04671	Ag332
PF01453	B_lectin
PF05039	Agouti
PF04647	AgrB
PF04730	Agro_virD5
PF00578	AhpC-TSA
PF02626	AHS2
PF01808	AICARFT_IMPCHas
PF04548	AIG1
PF00731	AIRC
PF00586	AIRS
PF02769	AIRS_C
PF04988	AKAP95
PF02983	Pro_Al_protease
PF00490	ALAD
PF00171	Aldedh
PF01081	Aldolase
PF00596	Aldolase_II
PF03752	ALF
PF05208	ALG3
PF03561	Allantoicase
PF04864	Alliinase_C
PF04030	ALO
PF00128	Alpha-amylase
PF02903	Alpha-amylase_N
PF02296	Alpha_adaptin_C
PF02883	Alpha_adaptinC2
PF00944	Peptidase_S3
PF01589	Alpha_E1_glycop
PF00943	Alpha_E2_glycop
PF01563	Alpha_E3_glycop
PF03229	Alpha_GJ
PF01120	Alpha_L_fucos
PF02232	Alpha_TIF
PF02430	AMA-1
PF03913	Amb_V_allergen
PF02948	Amelogenin
PF04709	AMH_N
PF01425	Amidase
PF01832	Glucosaminidase
PF02274	Amidinotransf
PF01979	Amidohydro_1
